STATE/UT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_Crimes
UTTARAKHAND,2005,266.0,250.0,126.0,200.0,178.0,544.0,0.0,1564.0
UTTARAKHAND,2006,294.0,366.0,160.0,306.0,226.0,716.0,0.0,2068.0
UTTARAKHAND,2007,234.0,454.0,140.0,292.0,126.0,926.0,0.0,2172.0
UTTARAKHAND,2008,174.0,444.0,146.0,240.0,612.0,680.0,0.0,2296.0
UTTARAKHAND,2009,222.0,494.0,188.0,238.0,498.0,722.0,0.0,2362.0
UTTARAKHAND,2010,242.0,498.0,150.0,250.0,330.0,668.0,0.0,2138.0
UTTARAKHAND,2011,258.0,566.0,166.0,232.0,144.0,614.0,0.0,1980.0
UTTARAKHAND,2012,296.0,512.0,142.0,278.0,146.0,736.0,0.0,2110.0
UTTARAKHAND,2013,456.0,1266.0,86.0,590.0,144.0,870.0,0.0,3412.0
UTTARAKHAND,2014,540.0,550.0,76.0,686.0,8.0,602.0,0.0,2462.0
WEST BENGAL,2001,1418.0,1390.0,530.0,1908.0,96.0,7718.0,6.0,13066.0
WEST BENGAL,2002,1518.0,1388.0,546.0,1928.0,68.0,8138.0,2.0,13588.0
WEST BENGAL,2003,2004.0,1602.0,658.0,2372.0,142.0,9896.0,2.0,16676.0
WEST BENGAL,2004,2950.0,2036.0,792.0,3132.0,128.0,12668.0,24.0,21730.0
WEST BENGAL,2005,3372.0,2078.0,892.0,3144.0,108.0,13872.0,122.0,23588.0
WEST BENGAL,2006,3462.0,2398.0,890.0,3674.0,126.0,14828.0,2.0,25380.0
WEST BENGAL,2007,4212.0,3180.0,902.0,4562.0,198.0,19800.0,10.0,32864.0
WEST BENGAL,2008,4526.0,3814.0,902.0,4792.0,188.0,27326.0,10.0,41558.0
WEST BENGAL,2009,4672.0,4374.0,1012.0,3884.0,216.0,32224.0,10.0,46392.0
WEST BENGAL,2010,4622.0,5528.0,1014.0,4930.0,326.0,35592.0,16.0,52028.0
WEST BENGAL,2011,4726.0,7422.0,1020.0,4726.0,400.0,39544.0,0.0,57838.0
WEST BENGAL,2012,4092.0,8336.0,1186.0,6690.0,1112.0,39730.0,24.0,61170.0
WEST BENGAL,2013,3370.0,7660.0,962.0,9826.0,1154.0,36232.0,18.0,59222.0
WEST BENGAL,2014,2932.0,9952.0,1002.0,11340.0,1086.0,46556.0,8.0,72876.0
